"Date","Pageviews","Ads"
2015-11-16,2245,TRUE
2015-11-17,1849,TRUE
2015-11-18,1881,TRUE
2015-11-19,1685,TRUE
2015-11-20,2097,TRUE
2015-11-21,1757,TRUE
2015-11-22,2324,TRUE
2015-11-23,1906,TRUE
2015-11-24,1668,TRUE
2015-11-25,1544,TRUE
2015-11-26,1517,TRUE
2015-11-27,1602,TRUE
2015-11-28,1753,TRUE
2015-11-29,2011,TRUE
2015-11-30,1839,TRUE
2015-12-01,1692,TRUE
2015-12-02,1700,TRUE
2015-12-03,3575,TRUE
2015-12-04,1608,TRUE
2015-12-05,1617,TRUE
2015-12-06,1664,TRUE
2015-12-07,1691,TRUE
2015-12-08,4072,TRUE
2015-12-09,6184,TRUE
2015-12-10,3641,TRUE
2015-12-11,2062,TRUE
2015-12-12,1989,TRUE
2015-12-13,1839,TRUE
2015-12-14,1797,TRUE
2015-12-15,1730,TRUE
2015-12-16,1584,TRUE
2015-12-17,1479,TRUE
2015-12-18,2282,TRUE
2015-12-19,2047,TRUE
2015-12-20,1513,TRUE
2015-12-21,1912,TRUE
2015-12-22,1970,TRUE
2015-12-23,1499,TRUE
2015-12-24,1497,TRUE
2015-12-25,1415,TRUE
2015-12-26,1482,TRUE
2015-12-27,1322,TRUE
2015-12-28,1651,TRUE
2015-12-29,1575,TRUE
2015-12-30,1476,TRUE
2015-12-31,1801,TRUE
