ID,Name,Parent.ID,Parent.Name,Total.Transactions,Payment.BTC,Payment.USD.equivalent,Commission.BTC,Commission.USD.equivalent
336,Antibacterial,335,Antibiotics,61,52.27,3118,4.01,205
346,Piracetam,345,Nootropics,190,201.09,11433,17.93,937
419,Aniracetam,345,Nootropics,8,2.25,260,.21,23
63,Benzos,350,Relaxants,31276,145634.60,2722909,11129.93,189909
406,Sleep aids,350,Relaxants,1510,1703.51,127901,146.65,10658
353,Muscle relaxants,350,Relaxants,375,450.50,25811,33.83,1778
352,Beta blockers,350,Relaxants,309,300.38,10851,23.47,868
417,Tapentadol,354,Analgesics,25,21.56,2479,1.59,177
356,Co-codamol,354,Analgesics,12,2.35,224,.19,18
355,Acetimophen,354,Analgesics,6,13.00,1312,1.11,109
357,Co-dydramol,354,Analgesics,1,.20,21,.02,2
420,Flupirtine,354,Analgesics,2,.59,68,.06,6
399,Norco,361,Hydrocodone,1443,4861.64,327134,386.90,26725
363,Vicodin,361,Hydrocodone,111,93.02,10944,8.46,1001
364,Dialudid,362,Hydromorphone,1151,10598.96,210805,798.59,14754
404,Oxycontin,366,Oxycodone,2655,13208.18,465735,1006.11,35033
368,Opana,367,Oxymorphone,334,3019.08,54530,222.46,4023
370,Demerol,369,Pethidine,59,198.98,5940,16.80,486
374,Stendra,373,Aranafil,2,1.37,160,.10,12
376,Priligy,375,Dapoxetine,185,280.21,10822,20.46,817
382,Cialis,381,Tadalafil,2612,3171.95,114426,263.76,8845
384,Levitra,383,Vardenafil,163,71.42,6133,5.50,455
385,Snovitra,383,Vardenafil,30,57.51,1641,4.81,129
388,Dexamfetamine,387,Amphetamine,542,871.54,75455,74.92,6305
412,Dexedrine,387,Amphetamine,451,1175.64,51460,95.41,4213
389,Vyvanse,387,Amphetamine,123,213.90,12549,19.88,1098
558,Desoxyn,387,Amphetamine,2,6.66,720,.56,60
391,Strattera,390,Atomoxetine,18,8.29,901,.69,72
393,Focalin,392,Dexmethylphenidate,34,114.07,2286,10.08,189
